求婚女王,8.0,829,王建华/王建华/王建华/,https://www.douban.com/location/drama/30390313/
纳斯尔丁•阿凡提,5.1,32,肖杰/,https://www.douban.com/location/drama/24706687/
你说我容易吗之万万不能,6.7,41,小柯/,https://www.douban.com/location/drama/33449755/
中文版I Do！I Do!,6.3,127,高瑞嘉/,https://www.douban.com/location/drama/30129733/
螺丝小姐,4.6,12,叶逊谦/,https://www.douban.com/location/drama/24740898/
我的长腿叔叔,7.3,20,叶逊谦/,https://www.douban.com/location/drama/24849790/
热舞甜心,6.3,309,汪琨/,https://www.douban.com/location/drama/26140711/
任天堂,7.2,55,沈文帅/,https://www.douban.com/location/drama/11510885/
厕客浮士德,,,甄詠蓓/陳志樺/,https://www.douban.com/location/drama/19950242/
张国荣-负零距离接触,,,刘志新/,https://www.douban.com/location/drama/24852467/
彝红,6.9,17,曹平/,https://www.douban.com/location/drama/26350965/
我们的爱情故事,,,周莉亚/,https://www.douban.com/location/drama/33424299/
紫石街,5.0,100,万军/,https://www.douban.com/location/drama/26616560/
侠盗亚森罗平,6.7,18,正塚晴彦/,https://www.douban.com/location/drama/25921748/
过去五年,6.7,157,Daisy Prince/铃木胜秀/Jason Robert Brown/罗兰/Daisy Prince/铃木胜秀/Jason Robert Brown/罗兰/,https://www.douban.com/location/drama/11511031/
唯不忘相思,,,加盐的咖啡/加盐的咖啡/加盐的咖啡/,https://www.douban.com/location/drama/34888344/
弘一,,,郁百杨/杨士德/,https://www.douban.com/location/drama/25839845/
雪狼湖,8.7,193,张学友/张学友/张学友/,https://www.douban.com/location/drama/10944703/
马路天使,,,周小倩/周小倩/周小倩/,https://www.douban.com/location/drama/10944697/
两个人的谋杀,,,SCOTT SCHWARTZ/田水/SCOTT SCHWARTZ/田水/,https://www.douban.com/location/drama/25797931/
白兰芝,5.7,74,刘亮延/,https://www.douban.com/location/drama/20267361/
诱惑者日记,7.8,48,安德斯·尼伯格/,https://www.douban.com/location/drama/20562103/
国之当歌,6.5,47,信洪海/,https://www.douban.com/location/drama/22190765/
诽闻绯闻,,,乔治·马威斯（瑞典）/,https://www.douban.com/location/drama/10944693/
爱在天际,,,郁百杨/,https://www.douban.com/location/drama/25780772/
美女与野兽,8.3,1043,Robert Jess Roth/未知/Rob Roth/Robert Jess Roth/未知/未知/未知/未知/未知/未知/未知/Rob Roth/,https://www.douban.com/location/drama/10944602/
狮子王,8.7,2767,"Julie Taymor/Julie Taymor, John Stefaniuk/Julie Taymor/Julie Taymor/Julie Taymor, John Stefaniuk/",https://www.douban.com/location/drama/10944567/
梵高,5.7,426,邓伟杰/,https://www.douban.com/location/drama/26968191/
泰爱你,6.3,70,陈天然/,https://www.douban.com/location/drama/26969631/
火焰,6.0,153,马达/,https://www.douban.com/location/drama/34924587/
粉丝来信 fanletter,9.1,156,韩在恩/,https://www.douban.com/location/drama/33397995/
我爱你，你完美，现在改变吧,8.3,44,Joel Bishoff/Dr. Petere Jordan/張錦程/刘阳/王宏元/Joel Bishoff/Dr. Petere Jordan/張錦程/刘阳/王宏元/陈淑仪/Kirk Jameson/,https://www.douban.com/location/drama/10944711/
我爱你，你完美，现在改变吧,,,刘阳 /,https://www.douban.com/location/drama/10944684/
I love you,6.7,28,Joel Bishoff /,https://www.douban.com/location/drama/10944683/
穿红靴的猫,,,邵美君/,https://www.douban.com/location/drama/19974516/
四川好人,7.3,25,彭镇南/彭鎮南/彭镇南/彭鎮南/,https://www.douban.com/location/drama/10944705/
Octave柯迪夫,,,黃智龍/司徒慧焯/,https://www.douban.com/location/drama/19975373/
I Love You Because,,,林立三/,https://www.douban.com/location/drama/14330631/
曾经,8.1,536,John Tiffany/王畅/Peter Rowe/John Tiffany/John Tiffany/John Tiffany/John Tiffany/John Tiffany/王畅/Peter Rowe/,https://www.douban.com/location/drama/10944625/
顶头槌,8.2,94,陈敢权/,https://www.douban.com/location/drama/10944715/
太平山之疫,6.0,10,林立三/,https://www.douban.com/location/drama/26706094/
家庭保卫队,,,司徒慧焯/,https://www.douban.com/location/drama/19951325/
2月14,,,奭升/傅月美/奭升/傅月美/,https://www.douban.com/location/drama/11612765/
艺海唐生,,,歐錦棠/葉萬莊（聯合導演）/,https://www.douban.com/location/drama/30162516/
聊斋新志,8.0,49,李銘森/,https://www.douban.com/location/drama/19951186/
但願人長久,,,林立三/李銘森/林立三/李銘森/,https://www.douban.com/location/drama/20276553/
酸酸甜甜香港地,,,毛俊輝/,https://www.douban.com/location/drama/19949955/
白蛇青蛇,,,關頌陽/,https://www.douban.com/location/drama/19949983/
斗浪潮,,,李鸿其/,https://www.douban.com/location/drama/11615923/
麦琪的礼物,6.6,20,敖晓艺/,https://www.douban.com/location/drama/30163543/
魔法坏女巫,8.2,5549,Joe Mantello/Petra Siniawski （UK Associate Director）/LE hue/Joe Mantello/Joe Mantello/Petra Siniawski （UK Associate Director）/LE hue/Joe Mantello/Joe Mantello/Joe Mantello/,https://www.douban.com/location/drama/10944608/
摇滚学校,8.4,3788,Laurence Connor/Laurence Connor/Laurence Connor/Laurence Connor/,https://www.douban.com/location/drama/21339674/
拉赫玛尼诺夫,6.9,1098,安载英/高瑞嘉/安载英/高瑞嘉/,https://www.douban.com/location/drama/30282348/
保镖,7.0,811,Thea Sharrock/CJ E&M/西娅-夏罗克/Thea Sharrock/CJ E&M/西娅-夏罗克/,https://www.douban.com/location/drama/23129011/
凤凰阿佳与火山神,,,万军/,https://www.douban.com/location/drama/34896816/
啊！鼓岭,6.8,73,卓依•马可尼里(Joey Mckneely)/,https://www.douban.com/location/drama/26426749/
繁花尽落的青春,5.8,14,周小倩/,https://www.douban.com/location/drama/30391240/
犹太人在上海,6.1,41,徐俊/,https://www.douban.com/location/drama/26729422/
红磨坊,6.5,93,向异/Alex Timbers/向异/Alex Timbers/Alex Timbers/,https://www.douban.com/location/drama/20504271/
第十二夜,,,倉田淳/倉田淳/倉田淳/,https://www.douban.com/location/drama/26603882/
刀剑乱舞〜阿津賀志山异闻〜,8.4,193,茅野イサム/茅野イサム/茅野イサム/茅野イサム/,https://www.douban.com/location/drama/26782494/
银河英雄传说 初阵篇,,,川光俊哉/,https://www.douban.com/location/drama/26304486/
银河英雄传说 外传 双壁篇,6.6,12,ヨリコジユン/,https://www.douban.com/location/drama/11604245/
